# covariate data for axiom7,,,,
# nrow 501,,,,
# ncol 5,,,,
id,Sex,Batch,ngen,StartDate
Schneider_D186,F,3,G26,5/11/2017
Schneider_D187,F,3,G26,5/11/2017
Schneider_D188,F,3,G26,5/11/2017
Schneider_D189,F,3,G26,5/11/2017
Schneider_D190,F,3,G26,5/11/2017
Schneider_D191,F,3,G26,5/11/2017
Schneider_D192,F,3,G26,5/11/2017
Schneider_D193,F,3,G26,5/11/2017
Schneider_D194,F,3,G26,5/11/2017
Schneider_D195,F,3,G26,5/11/2017
Schneider_D196,F,3,G26,5/11/2017
Schneider_D197,F,3,G26,5/11/2017
Schneider_D198,F,3,G26,5/11/2017
Schneider_D199,F,3,G26,5/11/2017
Schneider_D200,F,3,G26,5/11/2017
Schneider_D201,F,3,G26,5/11/2017
Schneider_D202,F,3,G26,5/11/2017
Schneider_D203,F,3,G26,5/11/2017
Schneider_D204,F,3,G26,5/11/2017
Schneider_D205,F,3,G26,5/11/2017
Schneider_D206,F,3,G26,5/11/2017
Schneider_D207,F,3,G26,5/11/2017
Schneider_D208,F,3,G26,5/11/2017
Schneider_D209,F,3,G26,5/11/2017
Schneider_D210,F,3,G26,5/11/2017
Schneider_D211,F,3,G26,5/11/2017
Schneider_D212,F,3,G26,5/11/2017
Schneider_D213,F,3,G26,5/11/2017
Schneider_D214,F,3,G26,5/11/2017
Schneider_D215,F,3,G26,5/11/2017
Schneider_D216,F,3,G26,5/11/2017
Schneider_D217,F,3,G26,5/11/2017
Schneider_D218,F,3,G26,5/11/2017
Schneider_D219,F,3,G26,5/11/2017
Schneider_D220,F,3,G26,5/11/2017
Schneider_D221,F,3,G26,5/11/2017
Schneider_D222,F,3,G26,5/11/2017
Schneider_D223,F,3,G26,5/11/2017
Schneider_D224,F,3,G26,5/11/2017
Schneider_D225,F,3,G26,5/11/2017
Schneider_D226,F,3,G26,5/11/2017
Schneider_D227,F,3,G26,5/11/2017
Schneider_D228,F,3,G26,5/11/2017
Schneider_D229,F,3,G26,5/11/2017
Schneider_D230,F,3,G26,5/11/2017
Schneider_D231,F,3,G26,5/11/2017
Schneider_D232,F,3,G26,5/11/2017
Schneider_D233,F,3,G26,5/11/2017
Schneider_D234,F,3,G26,5/11/2017
Schneider_D235,F,3,G26,5/11/2017
Schneider_D236,F,3,G26,5/11/2017
Schneider_D237,F,3,G26,5/11/2017
Schneider_D238,F,3,G26,5/11/2017
Schneider_D239,F,3,G26,5/11/2017
Schneider_D240,F,3,G26,5/11/2017
Schneider_D241,F,3,G26,5/11/2017
Schneider_D242,F,3,G26,5/11/2017
Schneider_D243,F,3,G26,5/11/2017
Schneider_D244,F,3,G26,5/11/2017
Schneider_D245,F,3,G26,5/11/2017
Schneider_D246,F,3,G26,5/11/2017
Schneider_D247,F,3,G26,5/11/2017
Schneider_E248,F,4,G27,8/31/2017
Schneider_E249,F,4,G27,8/31/2017
Schneider_E250,F,4,G27,8/31/2017
Schneider_E251,F,4,G27,8/31/2017
Schneider_E252,F,4,G27,8/31/2017
Schneider_E253,F,4,G27,8/31/2017
Schneider_E254,F,4,G27,8/31/2017
Schneider_E255,F,4,G27,8/31/2017
Schneider_E256,F,4,G27,8/31/2017
Schneider_E257,F,4,G27,8/31/2017
Schneider_E258,F,4,G27,8/31/2017
Schneider_E259,F,4,G27,8/31/2017
Schneider_E260,F,4,G27,8/31/2017
Schneider_E261,F,4,G27,8/31/2017
Schneider_E262,F,4,G27,8/31/2017
Schneider_E263,F,4,G27,8/31/2017
Schneider_E264,F,4,G27,8/31/2017
Schneider_E265,F,4,G27,8/31/2017
Schneider_E266,F,4,G27,8/31/2017
Schneider_E267,F,4,G27,8/31/2017
Schneider_E268,F,4,G27,8/31/2017
Schneider_E269,F,4,G27,8/31/2017
Schneider_E270,F,4,G27,8/31/2017
Schneider_E271,F,4,G27,8/31/2017
Schneider_E272,F,4,G27,8/31/2017
Schneider_E273,F,4,G27,8/31/2017
Schneider_E274,F,4,G27,8/31/2017
Schneider_E275,F,4,G27,8/31/2017
Schneider_E276,F,4,G27,8/31/2017
Schneider_E277,F,4,G27,8/31/2017
Schneider_E278,F,4,G27,8/31/2017
Schneider_E279,F,4,G27,8/31/2017
Schneider_E280,F,4,G27,8/31/2017
Schneider_E281,F,4,G27,8/31/2017
Schneider_E282,F,4,G27,8/31/2017
Schneider_E283,F,4,G27,8/31/2017
Schneider_E284,F,4,G27,8/31/2017
Schneider_E285,F,4,G27,8/31/2017
Schneider_E286,F,4,G27,8/31/2017
Schneider_E287,F,4,G27,8/31/2017
